Region,MarketingYear,DOP_Wine,PGI_Wine,Varietal_Wine,Other_Wines
Minho,2021/22,858111.78,24534.94,673.22,10373.68
Minho,2020/21,818668.55,21575.03,402.85,7664.6
Minho,2019/20,787991.1,18006.97,258.05,10140.27
Minho,2018/19,731451.11,18424.52,409.95,9471.57
Minho,2017/18,918328.47,34643.81,471,13624.18
Minho,2016/17,708360.31,21173.88,0,6896.19
Minho,2015/16,838224.05,30476.82,153,5636.77
Minho,2014/15 ,659959.84,28475.11,20,4571.05
Minho,2013/14,743626.42,43837.26,0,5952.99
Minho,2012/13,618242.05,32742.82,0,4267.78
Minho,2011/12,764667.04,42906.71,0,15766.77
Minho,2010/11,864976.77,40776.44,0,6422.79
Minho,2009/10,844162.39,18576.69,0,4245.77
Trás-os-Montes,2021/22,22975.72,5591.42,11147,66314.73
Trás-os-Montes,2020/21,16124.66,5234.46,10612,62454.34
Trás-os-Montes,2019/20,15866.89,6025.55,9656,86465.81
Trás-os-Montes,2018/19,9636.26,7267.29,2211,31555.02
Trás-os-Montes,2017/18,14082.2,6217.73,4214,60916.33
Trás-os-Montes,2016/17,9972.71,7311,2882,56383.1
Trás-os-Montes,2015/16,14874.75,11972.8,2701,82857.985
Trás-os-Montes,2014/15 ,11251.91,14722.14,1382,80529.45
Trás-os-Montes,2013/14,12069.51,7600.14,1204,75741.06
Trás-os-Montes,2012/13,13306.7,18514.95,470,76322.92
Trás-os-Montes,2011/12,15870.77,12864.3,435,72834.53
Trás-os-Montes,2010/11,15338.44,23463.71,502,80062.6
Trás-os-Montes,2009/10,9958.8,31081.7,0,69573.53
Douro,2021/22,1532035.37,6679.67,49.25,75804.4
Douro,2020/21,1215658.42,4423.86,162,44104.93
Douro,2019/20,1611244.46,8966.15,98.1,71879.55
Douro,2018/19,1221316.15,6327.6,40.9,31997.93
Douro,2017/18,1367497.67,11584.34,15,69776.71
Douro,2016/17,1264445.41,7964.36,5.5,64785.98
Douro,2015/16,1409093.28,22681.48,0,180894.95
Douro,2014/15 ,1226685.72,14205.88,175.5,165938.56
Douro,2013/14,1215249.18,42630.92,0,259045.25
Douro,2012/13,1100359.71,14585.35,33,230372.59
Douro,2011/12,1052363.42,24885.64,0,252173.94
Douro,2010/11,1331975.84,50466.65,0,277965.22
Douro,2009/10,1186357.92,26985.93,0,138605.02
Beira Atlântico,2021/22,89825.47,3854.31,6229.94,80720.03
Beira Atlântico,2020/21,79640.55,24522.11,2769.6,67458.46
Beira Atlântico,2019/20,65941.13,29223.93,6045.8,57852.44
Beira Atlântico,2018/19,65952.27,27446.41,17251.4,67131.84
Beira Atlântico,2017/18,112115.19,37231.67,16766.35,94554.59
Beira Atlântico,2016/17,79035.11,25485.53,22246,68766.88
Beira Atlântico,2015/16,101325.78,30450.13,26075.65,114828.76
Beira Atlântico,2014/15 ,69843.57,18774.09,33641,102816.9
Beira Atlântico,2013/14,71787.18,28633.23,34263.27,120649.32
Beira Atlântico,2012/13,73460.46,22682.73,7968.09,179523.78
Beira Atlântico,2011/12,84621.7,35018.4,10571.39,162384.8
Beira Atlântico,2010/11,85674,45904.19,3839.85,162285.83
Beira Atlântico,2009/10,69458.97,64137.61,1068.12,112040.56
Terras do Dão,2021/22,254638.78,9692.65,732.28,21756.85
Terras do Dão,2020/21,170683.04,3374.35,323.8,14816.26
Terras do Dão,2019/20,226289.95,10643.23,445.85,20102.05
Terras do Dão,2018/19,156552.91,5960.43,50,15845.27
Terras do Dão,2017/18,254789.05,11956.46,7214.8,38501.59
Terras do Dão,2016/17,195847.76,9725.98,4339.15,27272.67
Terras do Dão,2015/16,250178.68,21155,7632.5,63349.33
Terras do Dão,2014/15 ,169806.73,21623.8,2532.75,46552.58
Terras do Dão,2013/14,195361.73,30702.48,4886.95,73872.7
Terras do Dão,2012/13,227007.15,29540.93,6790,91069.27
Terras do Dão,2011/12,193467.86,30414.8,5915.6,63738.88
Terras do Dão,2010/11,237410.95,34063.88,5202.7,79009.41
Terras do Dão,2009/10,221528.54,23022.4,0,52932.27
Terras da Beira,2021/22,121738.27,66575.89,0,73103.69
Terras da Beira,2020/21,97161,64118.25,0,58018.83
Terras da Beira,2019/20,87684.18,64247.49,0,103725.83
Terras da Beira,2018/19,45135.37,26343.9,3070,87483.07
Terras da Beira,2017/18,40433.4,21212.94,11635.5,117111.98
Terras da Beira,2016/17,62393.02,35065.31,0,158360.03
Terras da Beira,2015/16,46653.76,46973.43,0,132575.7
Terras da Beira,2014/15 ,44731.76,33200.04,0,138599.46
Terras da Beira,2013/14,42852.5,35930.35,0,137000.36
Terras da Beira,2012/13,44538.67,40849.18,0,132405.46
Terras da Beira,2011/12,42639.19,30287.57,1214.7,110617.98
Terras da Beira,2010/11,41154.61,43682.69,1000,138897.22
Terras da Beira,2009/10,50157.55,20569.64,14.5,121341.86
Terras de Cister,2021/22,28099.65,2380,0,34898.82
Terras de Cister,2020/21,18479.59,1600,19,17645.27
Terras de Cister,2019/20,24887.57,3600,0,30929.84
Terras de Cister,2018/19,23113.57,3400,0,10793.67
Terras de Cister,2017/18,24627.53,3100,0,26324.71
Terras de Cister,2016/17,22699.79,3300,0,43560.2
Terras de Cister,2015/16,22879.16,3900,20,40252.43
Terras de Cister,2014/15 ,20829.59,3200,0,29044.09
Terras de Cister,2013/14,21266.29,1400,0,42064.36
Terras de Cister,2012/13,20726.16,2743,0,41372.3
Terras de Cister,2011/12,19464.91,7369,0,19125.26
Terras de Cister,2010/11,21550.5,1994,0,37491.48
Terras de Cister,2009/10,14126.2,4907,500,28339.05
Tejo,2021/22,115587.36,468180.72,9085.95,120379.37
Tejo,2020/21,120235.65,418304.88,2543,103069.61
Tejo,2019/20,103754.43,377510.62,777.52,133693.08
Tejo,2018/19,119722.76,290540.97,3169,222081.6
Tejo,2017/18,82596.78,227686.94,7332,330824.95
Tejo,2016/17,71589.58,173028.97,941,305740.81
Tejo,2015/16,70369.89,190662.58,159.5,349991.41
Tejo,2014/15 ,53444.1,191181.47,4141,329122.27
Tejo,2013/14,55136.05,159846.18,3030,282795.13
Tejo,2012/13,63864.17,187065.9,5584,384967.29
Tejo,2011/12,45937.73,133897.73,6470,195970.91
Tejo,2010/11,64790.12,167191.23,6637,391929.37
Tejo,2009/10,55427.12,104937.23,813,383758.08
Lisboa,2021/22,60129.63,1091548.56,8922.92,178561.28
Lisboa,2020/21,44523.73,1037096.53,10791.51,160891.09
Lisboa,2019/20,39539.13,780193.73,9570.27,157705.77
Lisboa,2018/19,45128.85,884541.68,6848.15,233549.22
Lisboa,2017/18,59015.3,876848.99,7099.31,282876.78
Lisboa,2016/17,54057.39,701353.47,3986.08,239406.84
Lisboa,2015/16,58488.41,767897.47,62,376262.83
Lisboa,2014/15 ,35768.35,547027.39,1191,310793.36
Lisboa,2013/14,47388.22,503749.3,756.5,333848.46
Lisboa,2012/13,58334.1,394632.14,1658,642694.55
Lisboa,2011/12,51865.09,258878.39,752,515170.42
Lisboa,2010/11,67503.18,360914.77,2263,773417.05
Lisboa,2009/10,55210.09,323593.7,0,583519.14
P. Setúbal,2021/22,244240.91,260099.03,2947.5,40836.48
P. Setúbal,2020/21,207282.61,228547.57,124,39180.6
P. Setúbal,2019/20,211429.53,245752.41,561.3,45835.44
P. Setúbal,2018/19,191576.68,218197.68,1020,61403.01
P. Setúbal,2017/18,210753.72,237307.18,3444,73544.48
P. Setúbal,2016/17,184954.87,201968.12,0,76111.67
P. Setúbal,2015/16,192305.08,222017.86,0,89806.41
P. Setúbal,2014/15 ,125081.97,251597.56,4690,121454.63
P. Setúbal,2013/14,124145.87,190008.75,30,93668.07
P. Setúbal,2012/13,136108.08,219979.34,4500,156254.45
P. Setúbal,2011/12,86071.92,157851.07,2368,62566.16
P. Setúbal,2010/11,115259.64,192980.55,5510,117945.71
P. Setúbal,2009/10,108271,178273.95,507,92319.01
Alentejo,2021/22,692372.24,572972.64,6673.8,17454.03
Alentejo,2020/21,600176.26,537901.57,84.55,20904.21
Alentejo,2019/20,501446.09,482672.57,284.45,11887
Alentejo,2018/19,592462.88,480337.98,6926.14,12890.42
Alentejo,2017/18,510647.91,413732.66,12115.96,18413.71
Alentejo,2016/17,587495.1,430034.66,27427.55,5481.3
Alentejo,2015/16,608704.62,519447.57,78,23953.92
Alentejo,2014/15 ,554892,630757.6,60,37023.16
Alentejo,2013/14,470085.78,633255.13,150,24418.92
Alentejo,2012/13,399296.77,503636.39,152.5,67809.75
Alentejo,2011/12,413346.57,550665.23,559.5,5260.93
Alentejo,2010/11,449096.33,725656.5736,1387,13579.55
Alentejo,2009/10,356782.58,449833.33,995,2727.52
Algarve,2021/22,584.7,14673.13,185.5,495.9
Algarve,2020/21,322.9,12145.63,23,551
Algarve,2019/20,684.9,12586.5,145,509.25
Algarve,2018/19,931.2,15376.1,213,521.25
Algarve,2017/18,478.25,14226.81,127,945.12
Algarve,2016/17,450.6,9211.27,49.5,707.3
Algarve,2015/16,1268.4,11103.81,0,1257.7
Algarve,2014/15 ,1903,7546.99,0,1215.5
Algarve,2013/14,1667.7,7793.85,0,2214
Algarve,2012/13,3239.5,7085.82,0,2013.13
Algarve,2011/12,2770,5256.82,0,5123.02
Algarve,2010/11,5439,5608.05,0,8142.7
Algarve,2009/10,4680.5,11797.41,0,7172.55
Madeira,2021/22,34337.41207,23.05,0,3251.57643
Madeira,2020/21,36255.89269,19.75,0,988.35
Madeira,2019/20,37218.19314,72.55,0,1268.17
Madeira,2018/19,34195.27204,0,0,684.95
Madeira,2017/18,41947.50214,26,0,799.91
Madeira,2016/17,32590.65,32.7,0,1225.51
Madeira,2015/16,41250.74852,59.6975,0,4436.41
Madeira,2014/15 ,38262.4762,114.34,0,2448
Madeira,2013/14,40695.48497,35.4775,0,2404.918085
Madeira,2012/13,45147.09721,263.792,0,3697.666515
Madeira,2011/12,35671.34622,176.52,0,2921.6
Madeira,2010/11,32290.02,156.31,0,4335.1961
Madeira,2009/10,39284.93,223.21,0,5940.37
Açores,2021/22,2605.67,1245.27,0,2606.98
Açores,2020/21,3058.37,1809.65,0,3482.44
Açores,2019/20,4433.42,2718.31,0,6094.45
Açores,2018/19,3451.97,2051.46,0,7781.34
Açores,2017/18,817.55,867.36,0,3348.92
Açores,2016/17,814.64,808.95,0,4221.5
Açores,2015/16,1885.83,1550.98,0,6966.83
Açores,2014/15 ,1405.38,1118.27,0,10402
Açores,2013/14,1272.69,972.7,0,4350
Açores,2012/13,606.67,625.41,0,3746.7
Açores,2011/12,1718.52,1568.01,0,7905.39
Açores,2010/11,526.67,599.44,0,3656.59
Açores,2009/10,2771.35,2831.55,6.5,8144.99
